objtype,keyspace,name,size,WRUPerRec,rowsPerWRU,rowsPerRRU,rowsSizeWarning,columns
TABLE,UG,UGDTIDX,562,1,1,7,true,24
TABLE,UG,UGDT201,502,1,1,7,true,30
TABLE,UG,UGDTREC,1951,2,,2,true,135
TABLE,UG,UGDTMVR,1735,2,,2,true,102
INDEX,CUENTA_INDEX,null,,,,,,
INDEX,OFICINA_INDEX,null,,,,,,
MATERIALIZED VIEW,UG,OFICINA_INDEX_INDEX,,,,,,
MATERIALIZED VIEW,UG,CUENTA_INDEX_INDEX,,,,,,
MATERIALIZED VIEW,UG,UGDTMVR_02,,,,,,
TABLE,UG,UGDTMOV,1068,2,,3,true,56
INDEX,CUENTA_INDEX_MOV,null,,,,,,
MATERIALIZED VIEW,UG,CUENTA_INDEX_MOV_INDEX,,,,,,
TABLE,UG,UGDTLQS,818,1,1,4,true,46
TABLE,UG,UGDTRCT,1951,2,,2,true,135
TABLE,UG,UGDTPRO,3217,4,,1,true,168
TABLE,UG,UGDT196,374,1,2,10,,19
KEYSPACE,MP_TEST,null,,,,,,
KEYSPACE,PE,null,,,,,,
TABLE,PE,PEDT151,187,1,5,21,,9
TABLE,PE,PEDT205,220,1,4,18,,12
TABLE,PE,PEDT028,470,1,2,8,,22
TABLE,PE,PEDT052,212,1,4,18,,10
TABLE,PE,PEDT001,1232,2,,3,true,55
TABLE,PE,PEDT002,715,1,1,5,true,36
TABLE,PE,PEDT003,674,1,1,5,true,31
TABLE,PE,PEDT005,510,1,1,7,true,32
TABLE,PE,PEDT007,270,1,3,14,,14
TABLE,PE,PEDT008,449,1,2,8,,22
MATERIALIZED VIEW,PE,MV_EMPRESTIMO_PEDT008,,,,,,
TABLE,PE,PEDT023,345,1,2,11,,17
TABLE,PE,PEDT150,445,1,2,8,,21
MATERIALIZED VIEW,PE,VM_PEDT150_PECDGENT,,,,,,
MATERIALIZED VIEW,PE,MV_EMPRESTIMO_PEDT150,,,,,,
TABLE,PE,PEDT036,299,1,3,13,,16
KEYSPACE,PIX_SPI,null,,,,,,
TYPE,PIX_SPI,PIX_DEVOLUCAO,166,1,6,24,,10
TYPE,PIX_SPI,PIX_INFO_ADICIONAIS,62,1,16,64,,4
TABLE,PIX_SPI,FIAFOA,2419,3,,1,true,151
MATERIALIZED VIEW,PIX_SPI,FIAFOA_QRCODE,,,,,,
TABLE,PIX_SPI,PIX_COBRANCA_DEVOLUCAO,25,1,40,160,,1
TABLE,PIX_SPI,PZDT004,25,1,40,160,,1
MATERIALIZED VIEW,PIX_SPI,PZDT004_CDRAST,,,,,,
TABLE,PIX_SPI,PIX_COBRANCA,,,,,,108
INDEX,IDX_CD_RAST_PGTO,null,,,,,,
INDEX,IDX_CD_TRAN_RECB,null,,,,,,
INDEX,IDX_NR_CPF_CNPJ_EMIS,null,,,,,,
MATERIALIZED VIEW,PIX_SPI,IDX_NR_CPF_CNPJ_EMIS_INDEX,,,,,,
MATERIALIZED VIEW,PIX_SPI,PIX_COBRANCA_BY_EMIS,,,,,,
MATERIALIZED VIEW,PIX_SPI,IDX_CD_TRAN_RECB_INDEX,,,,,,
MATERIALIZED VIEW,PIX_SPI,IDX_CD_RAST_PGTO_INDEX,,,,,,
MATERIALIZED VIEW,PIX_SPI,PIX_COBRANCA_BY_E2E,,,,,,
TABLE,PIX_SPI,PZDT014,25,1,40,160,,1
TABLE,PIX_SPI,PZDT015,237,1,4,16,,11
TABLE,PIX_SPI,PZDTFIAFOA,25,1,40,160,,1
TABLE,PIX_SPI,PZDTFIBFOB,25,1,40,160,,1
KEYSPACE,OBK_VS,null,,,,,,
TABLE,OBK_VS,OBK_DE_PARA,100,1,10,40,,4
KEYSPACE,OBK_MI,null,,,,,,
TABLE,OBK_MI,IMOB_API_LOANS_ENTITY,708,1,1,5,true,29
TABLE,OBK_MI,IMOB_API_FINANCINGS_PAYMENTS,158,1,6,25,,7
TABLE,OBK_MI,IMOB_LOANS_CONTRACT,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_CONTRACTED_FEE,183,1,5,21,,8
TABLE,OBK_MI,IMOB_FINANCINGS_WARRANTY_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_CONTRACT_INTEREST_RATE_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_WARRANTY,25,1,40,160,,1
TABLE,OBK_MI,IMOB_API_LOANS_WARRANTIES,233,1,4,17,,10
TABLE,OBK_MI,IMOB_FINANCINGS_CONTRACT_INTEREST_RATE_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_WARRANTY_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_RESOURCES,333,1,3,12,,14
TABLE,OBK_MI,IMOB_FINANCINGS_FINANCE_CHARGE,25,1,40,160,,1
TABLE,OBK_MI,IMOB_API_FINANCINGS_ENTITY,708,1,1,5,true,29
TABLE,OBK_MI,IMOB_FINANCINGS_PAYMENTS,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_INSTALMENTS_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_WARRANTY_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_INSTALMENTS_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_WARRANTY_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_CONTRACT_INTEREST_RATE_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_CONTRACTED_FEE_PJ,708,1,1,5,true,29
TABLE,OBK_MI,IMOB_LOANS_PAYMENTS,25,1,40,160,,1
TABLE,OBK_MI,IMOB_RESOURCES_PJ,658,1,1,6,true,27
TABLE,OBK_MI,IMOB_FINANCINGS_RELEASES_PJ,733,1,1,5,true,30
TABLE,OBK_MI,IMOB_LOANS_INSTALMENTS,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_CONTRACTED_FEE_PF,508,1,1,7,true,21
TABLE,OBK_MI,IMOB_API_LOANS_SCHEDULED_INSTALMENTS,158,1,6,25,,7
TABLE,OBK_MI,IMOB_LOANS_RELEASES,358,1,2,11,,15
TABLE,OBK_MI,IMOB_RESOURCES_PF,658,1,1,6,true,27
TABLE,OBK_MI,IMOB_FINANCINGS_CONTRACTED_FEE,183,1,5,21,,8
TABLE,OBK_MI,IMOB_LOANS_FINANCE_CHARGE_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_FINANCE_CHARGE,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_INSTALMENTS,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_PAYMENTS_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_CONTRACT_INTEREST_RATE,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_RELEASES_PF,733,1,1,5,true,30
TABLE,OBK_MI,IMOB_FINANCINGS_RELEASES_PF,733,1,1,5,true,30
TABLE,OBK_MI,IMOB_FINANCINGS_FINANCE_CHARGE_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_WARRANTY,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_FINANCE_CHARGE_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_RELEASES_PJ,733,1,1,5,true,30
TABLE,OBK_MI,IMOB_LOANS_FINANCE_CHARGE_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_CONTRACT_INTEREST_RATE,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_CONTRACT,25,1,40,160,,1
TABLE,OBK_MI,IMOB_API_FINANCINGS_WARRANTIES,233,1,4,17,,10
TABLE,OBK_MI,IMOB_FINANCINGS_RELEASES,358,1,2,11,,15
TABLE,OBK_MI,IMOB_FINANCINGS_INSTALMENTS_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_CONTRACT_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_CONTRACT_INTEREST_RATE_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_INSTALMENTS_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_CONTRACT_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_API_FINANCINGS_SCHEDULED_INSTALMENTS,158,1,6,25,,7
TABLE,OBK_MI,IMOB_FINANCINGS_PAYMENTS_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_PAYMENTS_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_CONTRACTED_FEE_PJ,708,1,1,5,true,29
TABLE,OBK_MI,IMOB_FINANCINGS_CONTRACT_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_FINANCINGS_CONTRACT_PJ,25,1,40,160,,1
TABLE,OBK_MI,IMOB_LOANS_PAYMENTS_PF,25,1,40,160,,1
TABLE,OBK_MI,IMOB_API_LOANS_PAYMENTS,158,1,6,25,,7
TABLE,OBK_MI,IMOB_FINANCINGS_CONTRACTED_FEE_PF,508,1,1,7,true,21
KEYSPACE,OBK_CSG,null,,,,,,
KEYSPACE,BGS,null,,,,,,
TABLE,BGS,SPARK_MONITORING,25,1,40,160,,1
KEYSPACE,MP,null,,,,,,
TABLE,MP,MPDT072,563,1,1,7,true,40
TABLE,MP,MPDT044,515,1,1,7,true,28
TABLE,MP,MPDT009,833,1,1,4,true,55
INDEX,IDX_PAN,null,,,,,,
MATERIALIZED VIEW,MP,IDX_PAN_INDEX,,,,,,
TABLE,MP,MPDT043,724,1,1,5,true,54
TABLE,MP,MPDT026,216,1,4,18,,11
TABLE,MP,MPDT126,320,1,3,12,,37
TABLE,MP,MPDT007,875,1,1,4,true,55
MATERIALIZED VIEW,MP,VM_MPDT007_IDENTCLI,,,,,,
TABLE,MP,MPDT004,25,1,40,160,,1
TABLE,MP,MPDT489,241,1,4,16,,12
TABLE,MP,MPDT364,260,1,3,15,,22
TABLE,MP,MPDT085,174,1,5,22,,11
TABLE,MP,MPDT371,269,1,3,14,,19
